영어,Day,형용사,동사,명사,전치사,부사
medium,4,중간의,,"매개체, 매체 ",,
proper,4,"적절한, 적합한",,,,
measure,4,,"측정하다, 측량하다","척도, 기준, 조치 ",,
slight,4,"약간의, 작은, 경미한",,,,
format,4,,,"방식, 형식, 포맷",,
witness,4,,"보다, 목격하다 ","목격자, 증인",,
tropical,4,열대의,,,,
feature,4,,특별히 다루다[포함하다] ,"특징, 특색, 특집 기사",,
expenditure,4,,,"지출, 소비",,
exceed,4,,"초과하다, 넘다",,,
constitute,4,,"차지하다, 구성하다",,,
report,4,,"말하다, 보고하다, 알리다, 보도하다 ","보고(서), 보도",,
edge,4,,,"끝자락, 경계, 가장자리, 모서리",,
assistant,4,,,조수,,
official,4,공식적인,,"관리, 공무원 ",,
ridicule,4,,"조롱하다, 비웃다 ","조롱, 비웃음",,
enormous,4,"막대한, 엄청난, 거대한",,,,
occupy,4,,"거주하다, 점령하다, 차지하다, 가지다",,,
priest,4,,,사제,,
region,4,,,"지역, 영역",,
overrun,5,,"점령하다, 급속히 퍼지다",,,
receive,5,,"받다, 받아들이다",,,
enthusiastic,5,"열성적인, 열광하는, 열정적인",,,,
publish,5,,"발표하다, 출판하다, 간행하다",,,
logician,5,,,논리학자,,
found,5,,"설립하다, 세우다",,,
scholarship,5,,,장학금,,
interrupt,5,,"중단시키다, 방해하다, 가로막다",,,
decode,5,,해독하다,,,
relive,5,,"되살리다, 재현하다",,,
gather,5,,모으다,,,
equipment,5,,,장비,,
maximum,5,최대의,,최대 ,,
fee,5,,,"참가비, 요금",,
engaging,5,매력적인,,,,
submission,5,,,제출,,
location,5,,,"장소, 지역, 위치",,
induce,5,,"유도하다, 설득하다",,,
vague,5,"모호한, 애매한",,,,
sponsor,5,,후원하다 ,"스폰서, 후원자",,
ecological,5,"친환경적인, 생태(학)의, 생태계의",,,,
suspect,5,의심스러운 ,"~일 것이라고 생각하다, 의심하다 ","용의자, 혐의자",,
convey,5,,전달하다,,,
compression,5,,,압축,,
vertical,5,"수직적인, 수직의",,,,
distinct,5,"별개의, 독특한, 명백한",,,,
comprehension,5,,,이해(력),,
recollect,5,,기억하다,,,
actual,5,실제의,,,,
store,5,,저장하다 ,상점,,
fundamental,6,근본적인,,,,
involve,6,,"수반하다, 포함하다, 관련시키다",,,
means,6,,,"수단, 방법",,
derive,6,,"얻다, 끌어내다",,,
desire,6,,"원하다, 바라다","욕구, 욕망, 바람 ",,
compel,6,,강요하다,,,
consume,6,,"섭취하다, 소비하다",,,
outweigh,6,,~보다 더 크다,,,
hindrance,6,,,"장애(물), 방해(물)",,
virtual,6,가상의,,,,
monetary,6,"화폐의, 금전적인",,,,
scope,6,,,"범주, 범위, 기회",,
coordination,6,,,"조직화, 협응력, 협력, 조정",,
anew,6,,,,,"새롭게, 새로이, (처음부터) 다시"
familiarity,6,,,"익숙함, 친밀함",,
prime,6,"가장 중요한, 주요한",,,,
conclude,6,,결론짓다,,,
induction,6,,,"귀납 추리, 귀납적 추정, 유도",,
occurrence,6,,,"현상, 사건, 발생",,
prevail,6,,"널리 퍼지다, 우세하다",,,
obscure,6,"이해하기 어려운, 모호한",,,,
manual,6,손으로 하는,,"매뉴얼, 설명서 ",,
innovation,6,,,혁신,,
device,6,,,"기기, 장치",,
facilitate,6,,"촉진하다, 용이하게 하다",,,
relieve,6,,"완화하다, 덜다",,,
afford,6,,"제공하다, 여유가 있다",,,
virtue,6,,,"미덕, 덕목, 장점",,
possess,6,,"소유하다, 가지고 있다",,,
capacity,6,,,능력,,
endow,7,,(재능이나 자질 등을) 부여하다,,,
excel,7,,"탁월하다, 뛰어나다",,,
differentiate,7,,"구별하다, 차별화하다",,,
chronic,7,"상습적인, 만성의",,,,
genuine,7,"진심 어린, 진정성 있는",,,,
avid,7,열렬한,,,,
disinterest,7,,,무관심,,
fault,7,,,잘못,,
inexcusable,7,변명할 수 없는,,,,
comment,7,,"논평하다, 해설하다","말, 언급, 댓글, 논평 ",,
valid,7,"타당한, 유효한",,,,
lack,7,,"(~이) 없다, 부족하다","부족, 결핍 ",,
monitor,7,,"모니터링하다, 추적 관찰하다, 감시하다",,,
status,7,,,"상태, 지위, 신분",,
preventive,7,"예방의, 예방용의",,,,
skyrocket,7,,급등하다,,,
evolve,7,,"진화하다, 발전하다",,,
lower,7,,낮추다,,,
sensation,7,,,감각,,
reproductive,7,"번식의, 생식의",,,,
mental,7,정신적인,,,,
impact,7,,,영향,,
disadvantaged,7,"(경제적으로) 어려운, 가난한",,,,
suitable,7,"적합한, 적절한",,,,
access,7,,접근하다,접근성 ,,
venue,7,,,"(스포츠) 경기장, 행사장, 장소",,
bother,7,,"괴롭히다, 성가시게 하다",,,
dietetic,7,"식이 요법용의, 영양학의",,,,
burden,7,,,"짐, 부담",,
embarrassment,7,,,"창피함, 당황, 당혹감",,
vary,8,,"다양하다, 다르다, 변하다",,,
discrimination,8,,,"차별, 구별",,
myth,8,,,"근거 없는 통념, 신화",,
thrive,8,,"번성하다, 번영하다",,,
efficient,8,효율적인,,,,
calculation,8,,,계산,,
document,8,,"기록하다, 문서로 입증하다","문서, 서류 ",,
ingenuity,8,,,"독창성, 재간",,
organic,8,유기농의,,,,
fatten,8,,살찌우다,,,
strict,8,엄격한,,,,
barn,8,,,"축사, 외양간",,
mound,8,,,(흙)더미,,
assemble,8,,"소집하다, 조립하다, 모으다",,,
gigantic,8,거대한,,,,
delegate,8,,,"대표(자), 사절",,
intense,8,"열성적인, 강렬한, 치열한",,,,
bitter,8,"격렬한, 쓰라린",,,,
term,8,,,"용어, 학기, 기간",,
trace,8,,추적하다,"흔적, 자취 ",,
candidate,8,,,"후보, 지원자",,
representation,8,,,"표상, 표현, 묘사, 대표, 대리",,
signify,8,,"의미하다, 나타내다",,,
comparison,8,,,비교,,
plasticity,8,,,"유연성, 가소성",,
constant,8,"변함없는, 계속하는, 지속적인, 일정한",,,,
trigger,8,,"일으키다, 촉발하다, 유발하다",,,
secondary,8,"이차적인, 부수적인, 부차적인",,,,
intake,8,,,"들이쉬기, 섭취",,
specialist,8,,,전문가,,
intrinsic,9,"본질적인, 내재적인",,,,
interdisciplinary,9,"여러 분야가 융합된, 학제 간의",,,,
subtlety,9,,,"(주로 복수로) 중요한 세부 요소, 미묘함",,
collaboration,9,,,"협력, 협업, 협동",,
count,9,,"중요하다, 세다",,,
localized,9,"국지적인, 지역적인",,,,
exist,9,,"존재하다, (특수한 조건이나 장소에) 남아 있다",,,
territory,9,,,"영토, 영역",,
conflict,9,,충돌하다,"갈등, 충돌 ",,
expose,9,,"접하게 하다, 경험하게 하다",,,
grant,9,,"주다, 지급하다, 인정하다 ",보조금,,
notion,9,,,"개념, 관념",,
divine,9,"신성한, 신의",,신 ,,
conception,9,,,"개념, 신념, 구상",,
replace,9,,"대체하다, 대신하다",,,
brilliant,9,뛰어난,,,,
wage,9,,,임금,,
preferable,9,"더 나은, 더 좋은",,,,
vanish,9,,사라지다,,,
current,9,현재의,,,,
employ,9,,"사용하다, 고용하다",,,
output,9,,,"생산(량), 산출(량)",,
appropriate,9,"적합한, 적절한 ","전용하다, 도용하다",,,
shelter,9,,,"주거지, 쉼터, 집, 은신처",,
occupation,9,,,"직업, 직종",,
adopt,9,,"채택하다, 입양하다",,,
expand,9,,"확장되다, 확장하다",,,
momentary,9,"일시적인, 순간적인",,,,
endure,9,,"인내하다, 견디다, 지속되다",,,
revolution,9,,,혁명,,
distortion,10,,,왜곡,,
visual,10,"시각의, 시각적인",,,,
strive,10,,"노력하다, 분투하다",,,
linguistic,10,"언어적인, 언어의, 언어학의",,,,
origin,10,,,"기원, 출신",,
faculty,10,,,"교수진, 능력",,
institution,10,,,"기관, 제도",,
constrained,10,"제한된, 제약된",,,,
recruitment,10,,,"채용, 모집",,
alienate,10,,"소외시키다, 멀어지게 만들다",,,
accustomed,10,"익숙한, 익숙해진",,,,
bias,10,,,"편견, 편향",,
categorize,10,,분류하다,,,
criticism,10,,,"비판, 비평",,
inclusive,10,포용적인,,,,
objective,10,"객관적인, 객관식의",,,,
detachment,10,,,"거리 두기, 객관성, 분리",,
superior,10,"(~보다) 우세한, 우월한",,"상사, 상관, 상급자 ",,
viewpoint,10,,,"관점, 견해",,
holistic,10,"전체론적인, 전체론의",,,,
artificial,10,"인위적인, 인공적인",,,,
worsen,10,,"더 안 좋게 만들다, 더 나빠지다",,,
neutral,10,중립적인,,,,
safeguard,10,,보호하다,안전장치 ,,
preach,10,,"역설하다, 전파하다, 설파하다, 선교하다",,,
impartiality,10,,,"중립성, 공정성, 공평함",,
imprint,10,,"각인하다, 새기다 ","각인, 흔적",,
casual,10,"무심한, 우연한",,,,
dense,10,"울창한, 밀집한, 빽빽한",,,,
former,10,"이전의, 예전의, 전자의",,,,
frequency,11,,,"빈도, 주파수",,
defend,11,,"보호하다, 방어하다",,,
reason,11,,"판단하다, 추론하다 ","이유, 근거",,
sneak,11,,몰래 가다,,,
cover,11,,"보상하다, 메우다, 덮다, 다루다, 보도하다 ","덮개, 커버",,
allowance,11,,,용돈,,
grab,11,,"붙잡다, 움켜잡다, (재빨리) 먹다",,,
microscope,11,,,현미경,,
imitate,11,,"흉내 내다, 모방하다",,,
lounge,11,,느긋하게 앉아 있다 ,라운지[휴게실],,
massive,11,"거대한, 대규모의",,,,
filter,11,,"(빛이나 소리가) 들어오다, 걸러 내다 ",여과 장치,,
insistent,11,"무시할 수 없게 계속되는, 고집하는",,,,
apologetic,11,"미안해하는, 사과하는",,,,
hesitate,11,,"망설이다, 주저하다",,,
navigate,11,,"헤쳐 나가다, 길을 찾다, 항해하다",,,
hostile,11,적대적인,,,,
annoyance,11,,,"짜증, 골칫거리",,
session,11,,,"(특정한 활동을 위한) 시간, 기간, 학기",,
honorable,11,"훌륭한, 명예로운, 존경할 만한",,,,
permanent,11,"영구적인, 영원한, 상설의",,,,
descendant,11,,,"후손, 후예",,
hospitality,11,,,"환대, 접대",,
disregard,11,,"무시하다, 경시하다 ","무시, 경시",,
treaty,11,,,조약,,
crisp,11,"또렷한, 바삭바삭한",,,,
upbeat,11,"들뜬, 낙관적인",,,,
stretch,11,,"뻗다, 펴다, 스트레칭을 하다","(길게 뻗은) 구간, 지역 ",,
decent,11,"괜찮은, 온당한, 적절한",,,,
invisible,11,보이지 않는,,,,
plough,12,,쟁기로 갈다 ,쟁기,,
attach,12,,"붙이다, (중요성・의미・가치・무게 등을) 두다",,,
persistent,12,"끊임없는, 지속적인",,,,
harvest,12,,수확하다 ,수확,,
immune,12,"영향을 받지 않는, 면역의",,,,
hardship,12,,,"어려움, 고난",,
illustrate,12,,"분명히 보여 주다, 삽화를 그리다",,,
geography,12,,,"지리, 지리학, 지형",,
intellectual,12,"지성을 가진, 지적인",,,,
colony,12,,,"식민지, 군체, 군락",,
equivalent,12,"(크기·가치·뜻 등이) 같은, 동등한",,,,
convert,12,,"변환시키다, 전환하다",,,
inspection,12,,,"검사, 사찰",,
contaminate,12,,"오염시키다, 악영향을 미치다",,,
microbiology,12,,,미생물학,,
refrigeration,12,,,냉장,,
package,12,,포장하다 ,"꾸러미, 소포",,
improve,12,,"개선하다, 향상하다",,,
implement,12,,시행하다,,,
landfill,12,,,쓰레기 매립지,,
prove,12,,"증명하다, 입증하다",,,
legislation,12,,,"법률 제정, (제정된) 법률",,
obtain,12,,얻다,,,
prevailing,12,"널리 퍼져 있는, 널리 유행하고 있는",,,,
represent,12,,"나타내다, 표현하다",,,
pose,12,,"(위협·문제 등을) 제기하다, (그림·사진 촬영을 위해) 포즈[자세]를 취하다 ","태도, 자세",,
abundance,12,,,풍부,,
pressure,12,,,"압력, 압박",,
periodic,12,주기적인,,,,
erosion,12,,,"침식, 부식",,
minimum,13,"최소의, 최저의 ",,"최소, 최저",,
proceed,13,,"(~에) 이르다, 진행되다",,,
laboratory,13,,,실험실,,
phenomenon,13,,,현상,,
philosophy,13,,,철학,,
abuse,13,,"학대하다, 혹사하다","남용, 악용, 오용 ",,
obedience,13,,,"(법률·명령의) 준수, 복종, 순종",,
endeavor,13,,,"노력, 애씀",,
expensive,13,"비싼, 돈이 많이 드는",,,,
resentment,13,,,"분노, 적의",,
celebrate,13,,"즐겁게 맞이하다, 기념하다, 축하하다",,,
blanket,13,,,담요,,
passion,13,,,열정,,
restructure,13,,"재구성하다, 구조 조정을 하다",,,
authority,13,,,"권위, 권한",,
arise,13,,"발생하다, 일어나다",,,
mainstream,13,주류의 ,,주류,,
insist,13,,"강요하다, 주장하다",,,
flourish,13,,"번영하다, 번창하다",,,
discount,13,,"무시하다, 고려에 넣지 않다, 할인하다 ",할인,,
reject,13,,"거부하다, 거절하다, 인정하지 않다",,,
secret,13,"비밀의, 기밀의 ",,"비밀, 기밀",,
formulate,13,,"고안하다, 공식으로 나타내다",,,
harmony,13,,,"조화, 일치",,
foreground,13,,,"(그림의) 전경, 최전면",,
amplify,13,,"증폭시키다, 확대하다, 확장하다",,,
dismiss,13,,"일축하다, 묵살하다",,,
distressed,13,괴로워하는,,,,
implication,13,,,"시사점, 영향, 함축",,
framework,13,,,"체계, 체제, 틀, 구조",,
estimate,14,,"추정하다, 평가하다 ",추정치,,
modest,14,"미미한, 겸손한, 삼가는",,,,
subsidize,14,,보조금을 주다,,,
consensus,14,,,"의견 일치, 합의",,
contribute,14,,"기여하다, 기부하다, (~의) 원인이 되다",,,
relationship,14,,,"관련성, 관계",,
rate,14,,평가하다 ,"비율, ~율",,
susceptible,14,"영향받기 쉬운, 민감한",,,,
physiological,14,"생리학적인, 생리적인",,,,
empathy,14,,,"공감, 감정 이입",,
finding,14,,,(조사·연구 등의) 결과,,
emotional,14,"감정적인, 감정의, 정서의",,,,
activation,14,,,활성화,,
bind,14,,"묶다, 결합하다",,,
integrate,14,,통합하다,,,
primitive,14,"원초적인, 원시적인",,,,
awkward,14,"어색한, 서투른",,,,
aggressive,14,"공격적인, 적극적인",,,,
admit,14,,"인정하다, 허가하다",,,
flee,14,,"탈출하다, 도망치다, 달아나다",,,
gap,14,,,"격차, 틈, 공백",,
competent,14,"유능한, 능숙한",,,,
minute,14,"미세한, 사소한 ",,"분, 순간",,
beverage,14,,,음료,,
legendary,14,"전설적인, 유명한",,,,
scheme,14,,,"배합, 계획",,
earnings,14,,,"수익, 소득",,
outcry,14,,,"항의, 격렬한 반응",,
distaste,14,,,"혐오(감), 싫음",,
infection,14,,,"전염, 감염(병)",,
distribution,15,,,"전파, 배포, 분포, 분배",,
digestion,15,,,"소화, 이해",,
haunted,15,"유령이 나오는, 겁에 질린",,,,
supernatural,15,초자연적인,,,,
universal,15,"보편적인, 일반적인",,,,
application,15,,,"활용, 적용, 지원(서), 응용 프로그램",,
fragile,15,"취약한, 깨지기 쉬운",,,,
cutback,15,,,"축소, 삭감",,
management,15,,,"경영(진), 관리(자)",,
quarter,15,,,"분기, 4분의 1",,
downturn,15,,,"악화, 침체, 감소, 하락",,
supervisor,15,,,"관리자, 상사",,
entire,15,"전체의, 온, 완전한",,,,
fantastic,15,"멋진, 환상적인",,,,
jewelry,15,,,보석(류),,
solution,15,,,"해결 방안, 해결책, 해법",,
fluid,15,"유동적인, 유동성의 ",,"(식물의) 수액, 분비액",,
offer,15,,"제공하다, 제시하다","제안, 제의 ",,
strategy,15,,,전략,,
proposition,15,,,"과제, 문제, 진술, 명제",,
establish,15,,"정하다, 형성하다, 설립하다",,,
restrict,15,,"제한하다, 한정하다",,,
foundation,15,,,"토대, 기초",,
include,15,,포함하다,,,
personal,15,개인적인,,,,
polite,15,"정중한, 예의 바른",,,,
corporate,15,"회사의, 기업의",,,,
degree,15,,,"학위, (온도 단위인) 도, 정도",,
raise,15,,"양육하다, 올리다, 높이다 ",인상,,
physician,15,,,(내과) 의사,,
secure,16,안전한,"확고히 하다, 확정하다, 확보하다 ",,,
purchase,16,,구매하다,구매 ,,
insurance,16,,,보험,,
passenger,16,,,승객,,
companion,16,,,"동반자, 친구",,
stroller,16,,,"유아차, 산책하는 사람",,
vote,16,,"투표하다, 선거하다",,,
announce,16,,발표하다,,,
incentive,16,,,"인센티브, 유인책, 동기",,
cease,16,,"중단하다, 멈추다, 끝나다",,,
vast,16,(범위·크기·양 등이) 방대한,,,,
obsessive,16,"강박적인, 집착하는",,,,
spot,16,,"발견하다, 찾아내다 ","장소, 점, 얼룩",,
launch,16,,"개시하다, 시작하다, 발사하다 ","개시, 출시, 발사",,
deter,16,,"단념시키다, 막다, 멈추다",,,
attack,16,,공격하다,공격 ,,
comparative,16,"비교의, 비교적인, 상대적인",,,,
examine,16,,"조사하다, 점검하다, 검사하다",,,
relative,16,"상대적인, 비교상의 ",,친척,,
specialization,16,,,"전문화, 전문 분야[과목]",,
custom,16,"맞춤의, 주문 제작한",,"관행, 관습, 습관 ",,
formalization,16,,,"의례화, 공식화",,
administrator,16,,,"관리자, 통치자",,
livelihood,16,,,"생계, 생계 수단",,
strain,16,,"부담을 유발하다, 긴장을 주다, 꽉 죄다","긴장, 부담 ",,
release,16,,"개봉하다, 방출하다, 풀어 주다 ","개봉, 방출, 석방",,
factual,16,"사실에 근거한, 사실에 기반한, 사실을 담은",,,,
reflect,16,,"반사하다, 반영하다, 숙고하다",,,
inability,16,,,"할 수 없음, 무능력",,
aesthetic,16,"미적인, 심미적 ",,"미적 특질, 미학",,
subject,17,(피해 등을) 입기 쉬운,,"피사체, 주제, 과목 ",,
embody,17,,"구현하다, 포함하다, 담다",,,
extract,17,,"추출하다, 발췌하다, 뽑다 ","추출(물), 발췌",,
exhaust,17,,"기진맥진하게 만들다, 다 써 버리다","잔해, 배기가스 ",,
target,17,,겨냥하다 ,"목표, (목표로 하는) 대상",,
devastating,17,"(대단히) 파괴적인, 굉장한",,,,
fuel,17,,부추기다 ,연료,,
factor,17,,,요인,,
production,17,,,생산,,
conceptualize,17,,"개념화하다, 개념적으로 설명하다",,,
commodity,17,,,"상품, 물품",,
advocate,17,,"지지하다, 옹호하다","지지자, 옹호자 ",,
sufficient,17,충분한,,,,
collective,17,"집단적인, 집합적인, 공동의",,,,
associate,17,,"연관시키다, 연상하다",,,
acquire,17,,"습득하다, 얻다",,,
poison,17,,"독을 넣다, 오염시키다 ",독,,
generation,17,,,"세대, (전기·열 등의) 발생",,
reputation,17,,,"평판, 명성",,
invade,17,,"침해하다, 침략하다",,,
conservative,17,보수적인,,,,
punishment,17,,,"처벌, 심한 대접",,
currency,17,,,"유행, 통화, 통용",,
correct,17,올바른,"바로잡다, 수정하다 ",,,
kin,17,,,"혈연, 친척, 친족",,
similarity,17,,,"유사성, 닮음",,
lazy,17,"게으른, 느긋한",,,,
notice,17,,"알아차리다, 인지하다 ","공지(문), 안내(문)",,
struggle,17,,"애를 먹다, 투쟁하다 ","어려움, 투쟁, 분투",,
hospitalize,17,,입원시키다,,,
willingness,18,,,"기꺼이 함, 의지",,
outfit,18,,"공급하다, 갖추어 주다","의상, 옷차림, 채비 ",,
distracted,18,"심란한, 집중이 흐트러진",,,,
dumb,18,"바보 같은, 말을 못 하는",,,,
confront,18,,"맞서다, 직면하다",,,
clutter,18,,(어수선하게) 집어넣다,"잡동사니, 어수선함 ",,
decorate,18,,"장식하다, 꾸미다",,,
inhabit,18,,"살다, 거주하다, 깃들다",,,
gravity,18,,,"심각성, 중력",,
incorporate,18,,"포함하다, 통합하다",,,
identity,18,,,"정체(성), 신분",,
internalize,18,,내면화하다,,,
minority,18,,,"소수 집단, 소수, 미성년",,
stimulus,18,,,"자극, 자극제 (",,
habitual,18,"습관적인, 상습적인",,,,
convention,18,,,"관습, 회의, 협정",,
calling,18,,,"천직, 소명",,
capture,18,,"사로잡다, 포로로 잡다 ","생포, 포획",,
legacy,18,,,(죽은 사람이 남긴) 유산,,
majority,18,,,"다수, 대부분",,
scenic,18,"경치 좋은, 생생한",,,,
venture,18,,"(과감하게) 가다, 위험을 무릅쓰다 ","모험, 모험적 사업",,
steep,18,"가파른, 급격한",,,,
inhibit,18,,"주눅 들게 하다, 억제하다",,,
unique,18,"독특한, 고유한",,,,
personality,18,,,"성격, 인격",,
praise,18,,"칭찬하다, 찬미하다 ","칭찬, 찬사",,
attribute,18,,"귀속시키다, (~의) 결과로 보다","속성, 특질 ",,
conduct,18,,"수행하다, 지휘하다 ","수행, 행동",,
abstract,18,"추상적인, 관념적인 ","추상화하다, 추출하다, 요약하다 ","추상화, 개요",,
grasp,19,,"(꽉) 잡다, 이해하다 ","꽉 잡기, 이해, 파악",,
host,19,,"(웹사이트를) 관리하다, 주최하다 ","사회자, 주인, 주최측",,
debt,19,,,"부채, 채무, 빚을 진 상태",,
routine,19,"일상적인, 정례적인 ",,(판에 박힌) 일상,,
finite,19,"한정된, 유한한",,,,
deposit,19,,"(특정한 곳에) 두다, 예금하다","매장층, 매장물, 예치금, 보증금 ",,
ultimate,19,"궁극적인, 최고의",,,,
realism,19,,,"현실감, 사실감, 사실주의",,
introduce,19,,"도입하다, 소개하다",,,
sympathy,19,,,"조문, 동정(심)",,
compose,19,,"가다듬다, (글을) 짓다, 구성하다",,,
validation,19,,,"확인, 검증, 입증",,
medieval,19,"중세의, 고풍의",,,,
rural,19,"시골의, 전원의",,,,
refuge,19,,,"피난처, 은신처, 보호 시설, 쉼터",,
degradation,19,,,"악화, 손실, (질적) 저하",,
confuse,19,,"혼동하다, 혼란스럽게 하다",,,
combine,19,,"결합하다, 통합하다",,,
huge,19,"엄청난, 커다란",,,,
translate,19,,"바뀌다, 바꾸다, 번역하다",,,
tendency,19,,,경향,,
recipient,19,,,수신자,,
attitude,19,,,태도,,
diminish,19,,"줄이다, 감소시키다",,,
resort,19,,의존하다 ,"리조트, 휴양소, 자주 가는 곳, 의지",,
convince,19,,"설득하다, 확신시키다",,,
describe,19,,"서술하다, 설명하다, 묘사하다",,,
generous,19,"관대한, 후한",,,,
purse,19,,,지갑,,
nearby,19,"가까운, 근처의",,,,"가까이에, 근처에 a. 가까운, 근처의"
procedure,20,,,"수술, 절차",,
discomfort,20,,불편하게 하다,"통증, 불편 ",,
disappointed,20,"실망한, 낙담한",,,,
afraid,20,"두려운, 무서운",,,,
context,20,,,"맥락, 문맥, 환경, 상황",,
landscape,20,,,"풍경, 지형",,
investment,20,,,투자,,
bankruptcy,20,,,"파산 (상태), 파탄",,
vitality,20,,,"활력, 생명력",,
adequate,20,"충분한, 적절한",,,,
shortage,20,,,"부족, 결핍",,
outbreak,20,,,"발생, 급증, 폭발",,
runoff,20,,,"유출 액체, 유수",,
deplete,20,,"고갈시키다, 감소시키다",,,
district,20,,,"구역, 지역, 지구",,
obligation,20,,,"책무, 의무",,
hierarchy,20,,,"위계, 계급",,
tension,20,,"긴장하게 하다, 팽팽하게 하다","긴장, 팽팽한 상태 ",,
clarification,20,,,"명확화, 해명",,
manufacture,20,,제조하다 ,제조,,
vacuum,20,진공의 ,,"진공 (상태), 공허, 공백",,
intrigue,20,,강한 흥미를 느끼게 하다,,,
modify,20,,"개조하다, 수정하다",,,
consist,20,,"구성되다, 이루어지다",,,
showcase,20,,"뽐내다, 선보이다, 전시하다 ","공개 행사, 진열장",,
tryout,20,,,선발 시험,,
particle,20,,,입자,,
solidity,20,,,"고체성, 견고함",,
